FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,5,2018-11-10,5801.9
L9G,Residential,5,2018-11-11,5690.1
L9G,Residential,5,2018-11-12,5572.2
L9G,Residential,5,2018-11-13,5306.9
L9G,Residential,5,2018-11-14,5856.1
L9G,Residential,5,2018-11-15,6041.2
L9G,Residential,5,2018-11-16,5691.7
L9G,Residential,5,2018-11-17,5670.8
L9G,Residential,5,2018-11-18,5790.2
L9G,Residential,5,2018-11-19,5850.8
L9G,Residential,5,2018-11-20,5737.1
L9G,Residential,5,2018-11-21,5939.1
L9G,Residential,5,2018-11-22,6784.4
L9G,Residential,5,2018-11-23,6455.4
L9G,Residential,5,2018-11-24,5815.2
L9G,Residential,5,2018-11-25,5321.9
L9G,Residential,5,2018-11-26,5474.6
L9G,Residential,5,2018-11-27,5665.6
L9G,Residential,5,2018-11-28,5968.2
L9G,Residential,5,2018-11-29,5902.0
L9G,Residential,5,2018-11-30,5817.8
L9G,Residential,5,2018-12-01,5748.9
L9G,Residential,5,2018-12-02,5645.2
L9G,Residential,5,2018-12-03,6036.8
L9G,Residential,5,2018-12-04,6034.4
L9G,Residential,5,2018-12-05,6473.8
L9G,Residential,5,2018-12-06,6259.8
L9G,Residential,5,2018-12-07,6442.8
L9G,Residential,5,2018-12-08,6351.3
L9G,Residential,5,2018-12-09,6404.7
L9G,Residential,5,2018-12-10,6238.3
L9G,Residential,5,2018-12-11,6241.1
L9G,Residential,5,2018-12-12,6297.8
L9G,Residential,5,2018-12-13,6131.8
L9G,Residential,5,2018-12-14,6063.1
L9G,Residential,5,2018-12-15,5796.9
L9G,Residential,5,2018-12-16,5863.2
L9G,Residential,5,2018-12-17,5974.8
L9G,Residential,5,2018-12-18,6209.0
L9G,Residential,5,2018-12-19,6464.6
L9G,Residential,5,2018-12-20,6141.4
L9G,Residential,5,2018-12-21,5956.3
L9G,Residential,5,2018-12-22,6504.5
L9G,Residential,5,2018-12-23,6477.3
L9G,Residential,5,2018-12-24,6218.7
L9G,Residential,5,2018-12-25,6397.2
L9G,Residential,5,2018-12-26,6302.8
L9G,Residential,5,2018-12-27,6341.1
L9G,Residential,5,2018-12-28,5790.8
