TOTAL_CONSUMPTION_API,TOTAL_CONSUMPTION_ORIG
7760.7,5720.7
7626.4,6245.6
7411.3,7175.2
7495.4,8084.4
7480.2,7585.8
8462.4,7105.6
8452.6,7101.6
8159.8,7026.2
7684.3,6937.2
7911,6799.2
8080.6,6851.9
7766.4,7426.5
9315.3,8395.9
7915,9637.9
8015.3,10160.3
7420.2,10347.7
7301.6,10319.1
7459.7,9784
7403.1,8643.6
7726.400000000001,7219.1
8193.9,6249.8
8035,5793.8
7672.2,5536.3
7550.700000000001,5486.1
7483.8,5644.8
7292.2,6166.8
7148.5,7098.5
7435.7,8113.5
7775,7883.2
7205.2,7765.6
7395.3,7615
7472.2,7315.4
7834.1,7119.7
7331.2,6927.3
8254.800000000001,7028.7
8365.8,7487
7688.400000000001,8425.3
7385.400000000001,9629.7
7687.2,10463
8014.099999999999,10686.7
8378.5,10560.6
8420.2,10185.9
8347.9,9378.9
7990.3,8196.2
7935.099999999999,7352.1
7729.5,6860.7
7681.5,6565.2
7499.099999999999,6472.2
8502.5,6518.6
8384.9,6701.4
8708.7,7231.5
8207.2,8025.7
8095.5,8658.2
8072.099999999999,9203.7
8253.6,9562.9
8776.9,9806.7
8695.3,9652.9
8303.2,9495.5
8326.6,9406.4
8397.1,9640.5
8102.599999999999,10092.6
7913.5,10820.1
8225.1,11242.9
8404.9,11082.6
7775.400000000001,10598.7
7555.8,10122.2
7418.6,9191.7
7370,8149.3
7450.5,7196.4
7815.2,6755.4
7713.6,6378.2
7037.7,6215.6
8219,6189.3
7648.2,6364.2
7051.6,6770.7
8151.599999999999,7508.5
7921,8305.3
8214.9,8599.5
7783.1,8764.9
6952.7,9011.7
6835.200000000001,9085
6198.5,8650.8
6476.900000000001,8457.2
7505.8,8478.8
7366.7,9271.6
7112.599999999999,10340.8
7001.599999999999,11142
6554.3,10961.9
6113.8,10536.3
6813.799999999999,10041.9
6918.6,9176.3
6547.8,7971.1
6068.200000000001,6861.3
5620.099999999999,6307.8
5680.4,6005.3
5432.7,5914.6
5374,5942.1
6109.8,6223.4
6403.799999999999,6574.4
6487.2,7106.4
6434.5,7792.5
5456.5,8387.1
6170,8937.3
7041.2,9617.9
6892.5,10000.3
6587.2,9727.1
5924.8,9498.4
5878.8,9811.7
5819.6,10340.3
5602.6,11225.3
5420.5,11420
5522.799999999999,11076.1
5536.1,10651.8
5560.7,9693.9
5872.9,8459.2
5698.599999999999,7035.1
5710.8,6020.7
6125.6,5513.7
6202.3,5193
6174.8,5087
6027.8,5100.3
5852.400000000001,5583.6
6515.8,6572.9
6737.3,7540.7
6578.3,7298.3
5998,6969.2
5790.5,6866.1
6196.7,6824.8
5979.7,6793.4
5845.299999999999,6799.4
5616.6,6815.2
5947.1,7152.2
6572.200000000001,8040
6091.3,9374.1
5856,9798.7
6137.2,9808
5989.1,9635.2
6254,9124.4
5954.599999999999,8030
6396.5,6624.2
6615.099999999999,5575.4
6275.700000000001,5061.2
6132,4847.4
6278.2,4740.2
5959.3,4816.1
5781,5229.9
6011.6,6102.4
6087.099999999999,7131.2
6100.3,7090.7
6187,6887.5
6853.7,6736
7558.5,6878.6
8483.6,6967.2
9174.800000000001,6963.6
8325.1,6971.8
7392.2,7269.9
6816,8205.2
9072.5,9484.3
6754.5,10281.6
6403.5,10465.2
6876.7,10421
6753.1,9990.8
6463.7,8841.4
6491.2,7498.4
6776.4,6564.4
7132.2,6132.2
7365.299999999999,5836.1
8801.5,5704.3
9786.6,5848.2
10324.7,6371.3
10854.1,7261
9463,8180.3
10070.6,7886.5
7629.3,7529.1
7724.7,7470.2
8284.3,7585.4
8664.2,7504.5
7384.8,7343
7046.900000000001,7286.6
6915.8,7494.6
7481,8400.5
