YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
2018,1,27,8,7183.1
2018,1,27,9,8154.5
2018,1,27,10,8682.0
2018,1,27,11,8962.2
2018,1,27,12,9039.3
2018,1,27,13,9287.4
2018,1,27,14,9638.3
2018,1,27,15,9731.0
2018,1,27,16,9932.5
2018,1,27,17,10555.7
2018,1,27,18,11408.8
2018,1,27,19,11364.2
2018,1,27,20,10803.3
2018,1,27,21,10231.2
2018,1,27,22,9693.4
2018,1,27,23,8894.1
2018,1,27,24,7780.0
2018,1,28,1,6876.8
2018,1,28,2,6182.4
2018,1,28,3,5874.9
2018,1,28,4,5763.1
2018,1,28,5,5822.6
2018,1,28,6,6040.6
2018,1,28,7,6464.2
2018,1,28,8,7237.0
2018,1,28,9,8142.0
2018,1,28,10,8514.6
2018,1,28,11,8813.3
2018,1,28,12,8906.0
2018,1,28,13,9049.3
2018,1,28,14,9002.5
2018,1,28,15,9126.8
2018,1,28,16,9381.8
2018,1,28,17,10120.8
2018,1,28,18,11684.5
2018,1,28,19,12301.3
2018,1,28,20,11993.7
2018,1,28,21,11510.4
2018,1,28,22,10684.8
2018,1,28,23,9326.0
2018,1,28,24,7836.8
2018,1,29,1,6646.3
2018,1,29,2,6148.9
2018,1,29,3,5929.6
2018,1,29,4,5859.6
2018,1,29,5,6059.1
2018,1,29,6,6666.1
2018,1,29,7,7495.5
2018,1,29,8,8508.5
2018,1,29,9,8367.0
2018,1,29,10,8018.7
2018,1,29,11,7932.5
2018,1,29,12,7982.4
2018,1,29,13,8192.2
2018,1,29,14,8194.4
2018,1,29,15,8181.8
2018,1,29,16,8634.7
2018,1,29,17,9615.3
2018,1,29,18,11348.0
2018,1,29,19,11789.0
2018,1,29,20,11812.8
2018,1,29,21,11622.4
2018,1,29,22,10810.6
2018,1,29,23,9538.0
2018,1,29,24,8056.4
2018,1,30,1,6938.7
2018,1,30,2,6522.6
2018,1,30,3,6350.9
2018,1,30,4,6328.0
2018,1,30,5,6590.4
2018,1,30,6,7095.4
2018,1,30,7,8166.0
2018,1,30,8,9111.1
2018,1,30,9,8745.8
2018,1,30,10,8146.5
2018,1,30,11,7879.9
2018,1,30,12,7782.9
2018,1,30,13,7758.8
2018,1,30,14,7711.0
2018,1,30,15,7686.3
2018,1,30,16,8083.2
2018,1,30,17,9227.0
2018,1,30,18,11000.3
2018,1,30,19,11860.8
2018,1,30,20,11923.2
2018,1,30,21,11873.7
2018,1,30,22,11272.9
2018,1,30,23,10039.5
2018,1,30,24,8637.5
2018,1,31,1,7568.8
2018,1,31,2,7161.9
2018,1,31,3,6958.7
2018,1,31,4,6890.2
2018,1,31,5,7067.9
2018,1,31,6,7510.4
2018,1,31,7,8344.7
2018,1,31,8,9223.3
2018,1,31,9,8977.7
